Provinsi,Nama RS,Kelas,Ruangan,Tersedia,Update
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Batu Batu/Kebidanan ( AL Bashiir),0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae  Batu Batu/Anak  ( Al Khabiir ),0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kota Subulussalam,Kelas III,Ruang Lae Pemualen / Bedah ( AL Mu'izz ),0,diupdate 9 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / D,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / J,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / M,1,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / I,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / L,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / E,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas I,Ruang Al-Mukhtara / K,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas II,Ruang Al-Munawarah / C,0,diupdate 10 jam yang lalu
ACEH,RS Ibu dan Anak Keluarga Desa,Kelas III,Ruang Al-Mukaramah / J,6,diupdate 10 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas I,Ruang Mawar 1,1,diupdate 9 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas I,Ruang Melati 4,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas I,Ruang Melati 3,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas I,Ruang Mawar 5,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Mawar 6,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Melati 5,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Mawar 4,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Melati 2,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Mawar 3,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Melati 1,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas II,Ruang Mawar 2,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 10,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 6,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 7,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 8,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 13,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Mawar 7 Sal Pria Ranap Terpadu,8,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Mawar 8 Sal Wanita Ranap Terpadu,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 9,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 11,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Anggrek (Sal Ranap Kebidanan & Kandungan),0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Kamboja ( Sal Anak),4,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 14,1,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah Kabupaten Aceh Besar,Kelas III,Ruang Melati 12,2,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL GHAFFAAR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL WAHIID,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL RAZZAAQ,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL QAADIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL AWWAL,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL BAATHIN,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL QAABIDH,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL KHABIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL WAHHAAB,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AS SHAMAD,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL 'ALIIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL MUQADDIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AZ ZHAAHIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AR RAQIIB,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL WAAJID,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL QAHHAAR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL AHAD,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL FATTAAH,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL MUQTADIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL AAKHIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas I,Ruang AL QAYYUUM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL KHALIQ,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL KHAAFIDH,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL MUTAKABBIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL BAASITH,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL BAARI',0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas II,Ruang AL RAAFI',0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL JALIL,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL SAMII',0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HAKIIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL 'ADL,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL MAJID,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AR RAHMAN,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HAQQ,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL 'AZHIIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang ICU,11,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL 'ALIY,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HASIIB,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL MUDZIL,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL  WAASI',0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HAKAM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL WADUUD,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL MU'IZZ,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AN NUUR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HALIIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL MU'MIN,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AS SYAKUUUR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL MUQIIT,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL KHABIIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL KARIIM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL BASHIIR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL GHANIYY,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL LATHIIF,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HAYYU,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AS SALAM,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL WAKIIL,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL  GHAFUUR,0,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang NICU,9,diupdate 8 jam yang lalu
ACEH,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Kelas III,Ruang AL HAFIZH,0,diupdate 8 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang SAFA,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JAMRAH,1,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JABAL UHUD,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JEDDAH,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas I,Ruang JABAL NUR,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas II,Ruang RW,1,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas II,Ruang MADINAH,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekah 3 C,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekah 3 D,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang AS SYIFA,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang MULTAZAM,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL GHAFUR,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang MARWAH,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL RAHMAH,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang AR RAHMAN,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang RP,1,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang Paviliun Mekkah 3 E,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang JABAL TSUR,0,diupdate 5 jam yang lalu
ACEH,RS Umum Avicenna,Kelas III,Ruang HAJAR ASWAD,0,diupdate 5 jam yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas I,Ruang Meranti,1,diupdate 21 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas I,Ruang Mahoni,4,diupdate 21 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas II,Ruang CEMPAKA,1,diupdate 21 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas II,Ruang Damar,2,diupdate 21 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas III,Ruang Cemara,6,diupdate 21 menit yang lalu
ACEH,RS Umum Prima Inti Medika,Kelas III,Ruang Kemuning,7,diupdate 21 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 AQSA 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 MINA 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 2,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 5,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 THURSINA 2,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 AJWA 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 3,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 4,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 THURSINA 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 2,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 ARAFAH 1,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 MINA 2,0,diupdate 22 menit yang lalu
ACEH,RS Umum Daerah  Dr. Zainoel Abidin,Kelas I,Ruang KLS 1 RAUDHAH 3,0,diupdate 22 menit yang lalu
